Date,Stock,Action,Price,Position Sizing
2009-08-24 00:00:00,BOSCHLTD,Entry,3571.386,99998.808
2011-12-12 00:00:00,BOSCHLTD,TSL hit,6076.20947265625,170133.865234375
2012-01-30 00:00:00,BOSCHLTD,Entry,6781.405,169535.125
2013-08-19 00:00:00,BOSCHLTD,TSL hit,7633.38232421875,190834.55810546875
2013-12-16 00:00:00,BOSCHLTD,Entry,8728.228,183292.78799999997
2015-09-28 00:00:00,BOSCHLTD,TSL hit,18152.26953125,381197.66015625
2016-08-01 00:00:00,BOSCHLTD,Entry,23628.801,378060.816
2016-11-07 00:00:00,BOSCHLTD,TSL hit,18898.244140625,302371.90625
2017-07-31 00:00:00,BOSCHLTD,Entry,23347.457,303516.941
2017-09-25 00:00:00,BOSCHLTD,TSL hit,19530.615234375,253897.998046875
2018-08-27 00:00:00,BOSCHLTD,Entry,21015.35,252184.19999999998
2019-05-06 00:00:00,BOSCHLTD,TSL hit,16479.77734375,197757.328125
2021-01-18 00:00:00,BOSCHLTD,Entry,15341.035,199433.455
2022-03-07 00:00:00,BOSCHLTD,TSL hit,14127.0576171875,183651.7490234375
2009-06-08 00:00:00,INFY,Entry,164.345,99921.76
2011-05-23 00:00:00,INFY,TSL hit,270.4961853027344,164461.6806640625
2013-02-25 00:00:00,INFY,Entry,289.426,164393.968
2014-05-05 00:00:00,INFY,TSL hit,314.5218811035156,178648.42846679688
2014-09-29 00:00:00,INFY,Entry,394.248,178594.34399999998
2016-08-15 00:00:00,INFY,TSL hit,437.2234802246094,198062.23654174805
2017-12-11 00:00:00,INFY,Entry,455.664,198213.84
2019-10-21 00:00:00,INFY,TSL hit,600.5958251953125,261259.18395996094
2020-07-13 00:00:00,INFY,Entry,867.063,260985.963
2022-04-18 00:00:00,INFY,TSL hit,1568.835327148438,472219.4334716798
2009-07-13 00:00:00,HDFC,Entry,417.205,99711.995
2018-01-15 00:00:00,HDFC,Target Achivied,1770.952270507812,423257.5926513671
2018-01-22 00:00:00,HDFC,Entry,1777.519,423049.522
2018-09-24 00:00:00,HDFC,TSL hit,1650.968505859375,392930.50439453125
2019-04-01 00:00:00,HDFC,Entry,1941.16,392114.32
