Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-10-12 00:00:00,759.887,99545.197,2010-05-03 00:00:00,635.8468017578125,-16249.266,-16.324,TSL hit
2010-06-21 00:00:00,815.351,83165.802,2011-01-24 00:00:00,659.3482055664062,-15912.285,-19.133,TSL hit
2012-01-30 00:00:00,832.891,67464.171,2013-02-11 00:00:00,570.404,-21261.447,-31.515,Stop loss hit
2014-02-24 00:00:00,677.316,46057.488000000005,2015-09-28 00:00:00,1003.553466796875,22184.148,48.166,TSL hit
2017-04-03 00:00:00,1315.7,68416.40000000001,2018-03-19 00:00:00,1221.921752929688,-4876.469,-7.128,TSL hit
2019-04-22 00:00:00,1425.497,62721.868,2019-12-16 00:00:00,1226.472534179688,-8757.076,-13.962,TSL hit
2021-01-04 00:00:00,1299.01,54558.42,,,,,
2009-05-18 00:00:00,564.311,99883.047,2013-02-11 00:00:00,1051.861206054688,86296.386,86.397,TSL hit
2014-03-17 00:00:00,1089.195,186252.345,2016-01-11 00:00:00,1086.312866210938,-492.845,-0.265,TSL hit
2016-05-23 00:00:00,1351.825,185200.025,2016-11-07 00:00:00,1251.239013671875,-13780.28,-7.441,TSL hit
2017-07-10 00:00:00,1574.755,171648.295,2018-03-05 00:00:00,1383.2666015625,-20872.235,-12.16,TSL hit
2019-03-25 00:00:00,1566.289,150363.744,2020-02-24 00:00:00,1241.572998046875,-31172.736,-20.732,TSL hit
2020-10-12 00:00:00,1507.633,119103.007,2022-02-21 00:00:00,2004.015991210938,39214.256,32.925,TSL hit
2009-06-01 00:00:00,116.273,99994.78,2011-11-21 00:00:00,116.0904083251953,-157.029,-0.157,TSL hit
2013-01-28 00:00:00,142.295,99748.795,2015-11-02 00:00:00,274.3549499511719,92574.025,92.807,TSL hit
2016-10-24 00:00:00,296.82,192339.36,2018-03-19 00:00:00,351.5381774902344,35457.379,18.435,TSL hit
2019-05-20 00:00:00,399.96,227577.24,2020-02-24 00:00:00,333.7924499511719,-37649.336,-16.544,TSL hit
2020-11-23 00:00:00,405.875,189949.5,,,,,
2009-05-18 00:00:00,69.657,99957.795,2011-02-07 00:00:00,91.53482055664062,31394.672,31.408,TSL hit
2011-04-25 00:00:00,125.851,131388.444,2013-03-18 00:00:00,145.8876953125,20918.31,15.921,TSL hit
2014-03-31 00:00:00,172.307,152147.08099999998,2015-11-09 00:00:00,164.6794281005859,-6735.146,-4.427,TSL hit
2016-06-27 00:00:00,217.564,145550.316,2016-11-07 00:00:00,189.9577484130859,-18468.582,-12.689,TSL hit
2017-07-31 00:00:00,241.296,126921.696,2018-03-05 00:00:00,205.9895172119141,-18571.21,-14.632,TSL hit
2020-07-27 00:00:00,200.941,108508.14,2022-02-14 00:00:00,331.3022155761719,70395.056,64.875,TSL hit
2009-05-18 00:00:00,241.495,99978.93,2013-05-13 00:00:00,1027.043090820312,325216.91,325.285,Target hit
2014-06-30 00:00:00,1027.572,424387.236,2016-11-14 00:00:00,1174.834594726562,60819.452,14.331,TSL hit
2018-11-12 00:00:00,1223.592,485766.024,2021-08-30 00:00:00,5014.5498046875,1505010.248,309.822,Target hit
2021-11-15 00:00:00,5588.6,1989541.6,2022-05-02 00:00:00,3827.35,-627005.0,-31.515,Stop loss hit
2009-07-20 00:00:00,117.295,99935.34,2011-02-21 00:00:00,219.0330200195312,86680.793,86.737,TSL hit
2011-05-16 00:00:00,264.837,186445.248,2015-06-08 00:00:00,669.3740234375,284794.064,152.749,TSL hit
2015-07-27 00:00:00,842.204,470792.036,2016-11-14 00:00:00,875.5521240234375,18641.601,3.96,TSL hit
2017-08-28 00:00:00,1174.234,489655.578,2022-02-28 00:00:00,2722.4609375,645610.633,131.85,TSL hit
2009-05-18 00:00:00,30.977,99993.756,2011-02-21 00:00:00,76.7238540649414,147670.845,147.68,TSL hit
2012-09-24 00:00:00,66.865,247667.96,2014-03-31 00:00:00,269.4117431640625,750233.137,302.919,Target hit
2014-04-21 00:00:00,276.255,997833.06,2016-02-08 00:00:00,636.7316284179688,1302041.582,130.487,TSL hit
2017-10-30 00:00:00,762.316,2299907.372,2018-01-15 00:00:00,623.5991821289062,-418508.64,-18.197,TSL hit
2018-09-03 00:00:00,777.779,1880669.622,2019-05-13 00:00:00,653.2530517578125,-301103.743,-16.01,TSL hit
2020-05-18 00:00:00,716.598,1580098.59,2021-08-09 00:00:00,749.881103515625,73389.243,4.645,TSL hit
2009-05-25 00:00:00,142.196,99963.788,2011-08-15 00:00:00,199.46142578125,40257.594,40.272,TSL hit
2012-11-26 00:00:00,249.966,140230.926,2013-07-22 00:00:00,212.7692260742188,-20867.39,-14.881,TSL hit
2014-04-21 00:00:00,294.457,119255.085,2015-08-31 00:00:00,457.8865051269531,66188.95,55.502,TSL hit
2016-08-01 00:00:00,560.181,185419.911,2016-12-05 00:00:00,450.7127685546875,-36233.985,-19.542,TSL hit
2017-11-06 00:00:00,543.297,148863.378,2019-07-29 00:00:00,672.8258056640625,35490.893,23.841,TSL hit
2021-02-08 00:00:00,749.26,184317.96,2021-11-15 00:00:00,705.2764282226562,-10819.959,-5.87,TSL hit
2009-05-18 00:00:00,327.33,99835.65,2012-02-13 00:00:00,1342.757446289062,309705.371,310.215,Target hit
2012-09-17 00:00:00,1379.168,409612.896,2013-04-01 00:00:00,1303.070556640625,-22600.941,-5.518,TSL hit
2014-06-09 00:00:00,1703.197,386625.719,2018-03-05 00:00:00,2508.195556640625,182734.672,47.264,TSL hit
2019-10-14 00:00:00,2752.253,569716.371,2020-03-09 00:00:00,2195.838134765625,-115177.877,-20.217,TSL hit
2020-11-23 00:00:00,2956.43,452333.79,2021-11-08 00:00:00,3503.46630859375,83696.555,18.503,TSL hit
2010-05-10 00:00:00,519.596,99762.432,2011-11-21 00:00:00,440.5624389648438,-15174.444,-15.211,TSL hit
2012-02-20 00:00:00,563.535,84530.25,2013-04-29 00:00:00,723.4747314453125,23990.96,28.382,TSL hit
2014-03-31 00:00:00,777.907,108129.073,2016-02-22 00:00:00,1596.44384765625,113776.622,105.223,TSL hit
2016-06-13 00:00:00,2051.627,221575.716,2019-06-10 00:00:00,8222.888671875,666496.261,300.798,Target hit
2019-06-17 00:00:00,8379.954,888275.124,2020-03-09 00:00:00,7737.33642578125,-68117.463,-7.669,TSL hit
2021-02-01 00:00:00,9716.344,816172.896,2022-05-02 00:00:00,13635.5888671875,329216.569,40.337,TSL hit
2009-06-01 00:00:00,15.791,99988.612,2010-09-06 00:00:00,69.13516998291016,337775.284,337.814,Target hit
2010-09-13 00:00:00,71.453,437721.078,2013-08-05 00:00:00,102.3433227539062,189234.117,43.232,TSL hit
2013-12-16 00:00:00,145.306,626995.39,2015-12-28 00:00:00,599.1948852539062,1958530.54,312.368,Target hit
2016-01-04 00:00:00,620.687,2585161.355,2018-07-16 00:00:00,2696.16943359375,8644384.336,334.385,Target hit
2018-08-06 00:00:00,2782.463,11227238.205,2020-03-16 00:00:00,2936.44580078125,621320.601,5.534,TSL hit
2020-11-23 00:00:00,4883.101,11846403.026,2022-05-09 00:00:00,5495.7392578125,1486260.413,12.546,TSL hit
2009-05-11 00:00:00,55.53,99954.0,2011-08-15 00:00:00,128.6035919189453,131532.465,131.593,TSL hit
2012-12-17 00:00:00,149.258,231499.158,2013-03-18 00:00:00,119.7194137573242,-45814.347,-19.79,TSL hit
2014-03-24 00:00:00,136.187,185622.881,2015-03-23 00:00:00,151.6513214111328,21077.87,11.355,TSL hit
2017-01-30 00:00:00,179.699,206653.85,2017-08-07 00:00:00,138.0919189453125,-47848.143,-23.154,TSL hit
2021-02-15 00:00:00,88.534,158918.53,2021-04-19 00:00:00,61.11,-49226.08,-30.976,Stop loss hit
2021-10-18 00:00:00,91.786,109684.27,,,,,
2009-08-24 00:00:00,377.155,99946.075,2009-10-05 00:00:00,297.5124206542969,-21105.284,-21.117,TSL hit
2011-04-11 00:00:00,323.736,78667.848,2011-12-12 00:00:00,293.2984619140625,-7396.322,-9.402,TSL hit
2013-10-28 00:00:00,322.232,71213.27200000001,2015-12-07 00:00:00,275.6122436523438,-10302.966,-14.468,TSL hit
2017-06-26 00:00:00,339.379,61088.22,2018-04-02 00:00:00,347.1203308105469,1393.44,2.281,TSL hit
2019-06-03 00:00:00,355.846,62273.05,2020-09-21 00:00:00,439.6499938964844,14665.699,23.551,TSL hit
2021-01-11 00:00:00,602.65,77139.2,,,,,
2009-05-18 00:00:00,212.188,99940.548,2010-11-22 00:00:00,227.9326171875,7415.715,7.42,TSL hit
2014-03-24 00:00:00,119.836,107373.056,2015-08-31 00:00:00,124.5967864990234,4265.665,3.973,TSL hit
2017-02-06 00:00:00,96.014,111664.282,2017-08-07 00:00:00,76.35414123535156,-22864.416,-20.476,TSL hit
2021-02-01 00:00:00,43.55,88798.45,2022-02-21 00:00:00,48.15000152587891,9379.403,10.563,TSL hit
2009-08-24 00:00:00,3571.386,99998.808,2011-12-12 00:00:00,6076.20947265625,70135.057,70.136,TSL hit
2012-01-30 00:00:00,6781.405,169535.125,2013-08-19 00:00:00,7633.38232421875,21299.433,12.563,TSL hit
2013-12-16 00:00:00,8728.228,183292.788,2015-09-28 00:00:00,18152.26953125,197904.872,107.972,TSL hit
2016-08-01 00:00:00,23628.801,378060.816,2016-11-07 00:00:00,18898.244140625,-75688.91,-20.02,TSL hit
2017-07-31 00:00:00,23347.457,303516.941,2017-09-25 00:00:00,19530.615234375,-49618.943,-16.348,TSL hit
2018-08-27 00:00:00,21015.35,252184.2,2019-05-06 00:00:00,16479.77734375,-54426.872,-21.582,TSL hit
2021-01-18 00:00:00,15341.035,199433.455,2022-03-07 00:00:00,14127.0576171875,-15781.706,-7.913,TSL hit
2009-05-18 00:00:00,42.012,99988.56,2011-01-10 00:00:00,57.59520721435547,37088.033,37.092,TSL hit
2012-03-26 00:00:00,69.337,137079.249,2013-07-29 00:00:00,58.21549987792969,-21987.206,-16.04,TSL hit
2014-03-03 00:00:00,87.286,115042.948,2016-02-08 00:00:00,172.1912078857422,111905.064,97.272,TSL hit
2016-04-11 00:00:00,207.17,226851.15,2018-02-19 00:00:00,307.3417053222656,109688.017,48.352,TSL hit
2019-05-27 00:00:00,318.299,336442.043,2020-03-09 00:00:00,306.8945007324219,-12054.556,-3.583,TSL hit
2021-02-22 00:00:00,402.638,324526.228,2021-11-22 00:00:00,371.8333740234375,-24828.529,-7.651,TSL hit
2009-04-13 00:00:00,126.17,99926.64,2014-07-28 00:00:00,517.1887817382812,309686.875,309.914,Target hit
2014-08-11 00:00:00,535.838,409380.232,2016-01-18 00:00:00,1183.49951171875,494813.395,120.869,TSL hit
2016-08-08 00:00:00,1496.71,904012.84,2019-04-29 00:00:00,2499.97607421875,605972.709,67.031,TSL hit
2019-10-14 00:00:00,3033.172,1507486.484,2020-03-09 00:00:00,2577.359375,-226538.875,-15.028,TSL hit
2020-05-25 00:00:00,3186.061,1280796.522,2021-02-15 00:00:00,3209.4892578125,9418.16,0.735,TSL hit
2021-08-16 00:00:00,3829.889,1290672.593,2022-03-07 00:00:00,3145.6416015625,-230591.373,-17.866,TSL hit
2009-04-20 00:00:00,224.786,99804.984,2011-03-07 00:00:00,280.6643371582031,24809.982,24.858,TSL hit
2012-01-23 00:00:00,330.653,124656.181,2013-12-09 00:00:00,364.4440612792969,12739.23,10.219,TSL hit
2014-06-30 00:00:00,434.682,137359.51200000002,2015-06-08 00:00:00,565.2926635742188,41272.97,30.047,TSL hit
2015-08-10 00:00:00,718.801,178262.64800000002,2016-01-18 00:00:00,567.1214599609375,-37616.526,-21.102,TSL hit
2017-10-16 00:00:00,596.525,140779.9,2018-03-19 00:00:00,528.412841796875,-16074.469,-11.418,TSL hit
2018-07-30 00:00:00,629.159,124573.482,2019-08-05 00:00:00,480.5934143066406,-29415.986,-23.613,TSL hit
2020-04-06 00:00:00,576.42,95685.72,2021-12-13 00:00:00,860.2000122070312,47107.482,49.231,TSL hit
2022-03-07 00:00:00,1043.95,141977.2,,,,,
