Company Name,Industry,Symbol,volatility
Dhani Services Ltd.,Financial Services,DHANI,1.5579904017620583
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,1.1441574158701733
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,0.9072749886169194
Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL,0.8724307799595207
Sobha Ltd.,Realty,SOBHA,0.7597543722847674
Tanla Platforms Ltd.,Information Technology,TANLA,0.7465559386391186
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,0.7381029061896419
Vakrangee Ltd.,Information Technology,VAKRANGEE,0.7244430063154971
KEI Industries Ltd.,Capital Goods,KEI,0.7030772602520385
Suzlon Energy Ltd.,Capital Goods,SUZLON,0.690229575967977
